0.000000000,192.168.100.147,53885,,192.168.100.28,8009,
0.000178000,192.168.100.147,50580,,192.168.100.28,32202,
0.220991000,192.168.100.147,50580,,192.168.100.28,32202,
0.220991000,192.168.100.147,53885,,192.168.100.28,8009,
0.274532000,192.168.100.117,,56917,239.255.255.250,,15600
0.522693000,192.168.100.147,50580,,192.168.100.28,32202,
0.522693000,192.168.100.147,53885,,192.168.100.28,8009,
1.131288000,192.168.100.147,50580,,192.168.100.28,32202,
1.131288000,192.168.100.147,53885,,192.168.100.28,8009,
1.319521000,192.168.100.1,,,192.168.100.147,,
1.319599000,192.168.100.147,,,192.168.100.1,,
1.319703000,192.168.100.1,,,192.168.100.147,,
1.319723000,192.168.100.147,,,192.168.100.1,,
1.522831000,192.168.100.147,,5353,224.0.0.251,,5353
1.525751000,192.168.100.147,,5353,224.0.0.251,,5353
2.333102000,192.168.100.147,50580,,192.168.100.28,32202,
2.333102000,192.168.100.147,53885,,192.168.100.28,8009,
2.995881000,192.168.100.28,8009,,192.168.100.147,53885,
2.996010000,192.168.100.28,8009,,192.168.100.147,53885,
2.996413000,192.168.100.28,8009,,192.168.100.147,53885,
2.996413000,192.168.100.28,8009,,192.168.100.147,53885,
2.996413000,192.168.100.28,8009,,192.168.100.147,53885,
2.996413000,192.168.100.28,32202,,192.168.100.147,50580,
2.996413000,192.168.100.28,32202,,192.168.100.147,50580,
2.996413000,192.168.100.28,32202,,192.168.100.147,50580,
2.996413000,192.168.100.28,32202,,192.168.100.147,50580,
2.996413000,192.168.100.28,32202,,192.168.100.147,50580,
3.045040000,192.168.100.147,53885,,192.168.100.28,8009,
3.050233000,192.168.100.147,50580,,192.168.100.28,32202,
3.341908000,192.168.100.117,,59908,192.168.100.255,,15600
5.319510000,192.168.100.147,19115,,189.1.174.45,443,
5.386662000,189.1.174.45,443,,192.168.100.147,19115,
6.275774000,192.168.100.117,,48778,239.255.255.250,,15600
6.345521000,192.168.100.1,,,192.168.100.147,,
6.345521000,192.168.100.1,,,192.168.100.147,,
6.345610000,192.168.100.147,,,192.168.100.1,,
6.345709000,192.168.100.147,,,192.168.100.1,,
7.998923000,192.168.100.147,50580,,192.168.100.28,32202,
7.999070000,192.168.100.147,53885,,192.168.100.28,8009,
8.002267000,192.168.100.28,8009,,192.168.100.147,53885,
8.002883000,192.168.100.28,8009,,192.168.100.147,53885,
8.002883000,192.168.100.28,32202,,192.168.100.147,50580,
8.045402000,192.168.100.147,50580,,192.168.100.28,32202,
8.045402000,192.168.100.147,53885,,192.168.100.28,8009,
9.385934000,192.168.100.117,,36767,192.168.100.255,,15600
11.364102000,192.168.100.1,,,192.168.100.147,,
11.364102000,192.168.100.1,,,192.168.100.147,,
11.364171000,192.168.100.147,,,192.168.100.1,,
11.364235000,192.168.100.147,,,192.168.100.1,,
12.276438000,192.168.100.117,,50156,239.255.255.250,,15600
13.013507000,192.168.100.147,50580,,192.168.100.28,32202,
13.013792000,192.168.100.147,53885,,192.168.100.28,8009,
13.019223000,192.168.100.28,32202,,192.168.100.147,50580,
13.019223000,192.168.100.28,8009,,192.168.100.147,53885,
13.074066000,192.168.100.147,50580,,192.168.100.28,32202,
13.074066000,192.168.100.147,53885,,192.168.100.28,8009,
13.519003000,192.168.100.147,,5353,224.0.0.251,,5353
13.521094000,192.168.100.147,,5353,224.0.0.251,,5353
13.583134000,192.168.100.28,,5353,224.0.0.251,,5353
13.583134000,192.168.100.28,,5353,224.0.0.251,,5353
15.316879000,192.168.100.117,,50040,192.168.100.255,,15600
15.384902000,192.168.100.1,,,192.168.100.147,,
15.384902000,192.168.100.1,,,192.168.100.147,,
15.384965000,192.168.100.147,,,192.168.100.1,,
15.385019000,192.168.100.147,,,192.168.100.1,,
15.401194000,192.168.100.147,19115,,189.1.174.45,443,
15.445301000,189.1.174.45,443,,192.168.100.147,19115,
15.445368000,192.168.100.147,19115,,189.1.174.45,443,
15.468562000,189.1.174.45,443,,192.168.100.147,19115,
18.028567000,192.168.100.147,53885,,192.168.100.28,8009,
18.028836000,192.168.100.147,50580,,192.168.100.28,32202,
18.034855000,192.168.100.28,8009,,192.168.100.147,53885,
18.035037000,192.168.100.28,32202,,192.168.100.147,50580,
18.075578000,192.168.100.147,50580,,192.168.100.28,32202,
18.075578000,192.168.100.147,53885,,192.168.100.28,8009,
18.278382000,192.168.100.117,,55391,239.255.255.250,,15600
20.400140000,192.168.100.1,,,192.168.100.147,,
20.400236000,192.168.100.147,,,192.168.100.1,,
20.402269000,192.168.100.1,,,192.168.100.147,,
20.402319000,192.168.100.147,,,192.168.100.1,,
21.365602000,192.168.100.117,,41962,192.168.100.255,,15600
22.037229000,192.168.100.117,,42506,239.255.255.250,,1900
22.578604000,192.168.100.147,15260,,20.42.73.28,443,
22.758767000,20.42.73.28,443,,192.168.100.147,15260,
22.758823000,192.168.100.147,15260,,20.42.73.28,443,
23.050229000,192.168.100.147,50580,,192.168.100.28,32202,
23.050390000,192.168.100.147,53885,,192.168.100.28,8009,
23.055643000,192.168.100.28,32202,,192.168.100.147,50580,
23.055643000,192.168.100.28,8009,,192.168.100.147,53885,
23.097538000,192.168.100.147,53885,,192.168.100.28,8009,
23.097537000,192.168.100.147,50580,,192.168.100.28,32202,
24.277349000,192.168.100.117,,55163,239.255.255.250,,15600
25.418593000,192.168.100.1,,,192.168.100.147,,
25.418631000,192.168.100.147,,,192.168.100.1,,
25.421876000,192.168.100.1,,,192.168.100.147,,
25.421895000,192.168.100.147,,,192.168.100.1,,
25.473168000,192.168.100.147,19115,,189.1.174.45,443,
25.541304000,189.1.174.45,443,,192.168.100.147,19115,
27.303328000,192.168.100.117,,41143,192.168.100.255,,15600
28.064512000,192.168.100.147,50580,,192.168.100.28,32202,
28.064663000,192.168.100.147,53885,,192.168.100.28,8009,
28.071603000,192.168.100.28,32202,,192.168.100.147,50580,
28.071948000,192.168.100.28,8009,,192.168.100.147,53885,
28.126336000,192.168.100.147,50580,,192.168.100.28,32202,
28.126336000,192.168.100.147,53885,,192.168.100.28,8009,
30.280293000,192.168.100.117,,34633,239.255.255.250,,15600
30.437149000,192.168.100.1,,,192.168.100.147,,
30.437149000,192.168.100.1,,,192.168.100.147,,
30.437226000,192.168.100.147,,,192.168.100.1,,
30.437288000,192.168.100.147,,,192.168.100.1,,
33.074744000,192.168.100.147,50580,,192.168.100.28,32202,
33.074954000,192.168.100.147,53885,,192.168.100.28,8009,
33.082979000,192.168.100.28,8009,,192.168.100.147,53885,
33.082979000,192.168.100.28,32202,,192.168.100.147,50580,
33.137029000,192.168.100.147,50580,,192.168.100.28,32202,
33.137029000,192.168.100.147,53885,,192.168.100.28,8009,
33.167907000,192.168.100.147,62067,,67.202.63.176,443,
33.345305000,192.168.100.117,,34176,192.168.100.255,,15600
33.353442000,67.202.63.176,443,,192.168.100.147,62067,
35.454898000,192.168.100.1,,,192.168.100.147,,
35.455024000,192.168.100.147,,,192.168.100.1,,
35.456342000,192.168.100.1,,,192.168.100.147,,
35.456423000,192.168.100.147,,,192.168.100.1,,
35.546850000,192.168.100.147,19115,,189.1.174.45,443,
35.614401000,189.1.174.45,443,,192.168.100.147,19115,
36.281234000,192.168.100.117,,40923,239.255.255.250,,15600
36.924466000,192.168.100.144,,10168,255.255.255.255,,10167
38.087716000,192.168.100.147,50580,,192.168.100.28,32202,
38.087919000,192.168.100.147,53885,,192.168.100.28,8009,
38.091502000,192.168.100.28,8009,,192.168.100.147,53885,
38.091994000,192.168.100.28,32202,,192.168.100.147,50580,
38.134289000,192.168.100.147,50580,,192.168.100.28,32202,
38.134289000,192.168.100.147,53885,,192.168.100.28,8009,
39.386519000,192.168.100.117,,54882,192.168.100.255,,15600
40.473790000,192.168.100.1,,,192.168.100.147,,
40.473856000,192.168.100.147,,,192.168.100.1,,
40.475032000,192.168.100.1,,,192.168.100.147,,
40.475084000,192.168.100.147,,,192.168.100.1,,
41.100463000,192.168.100.1,,38134,239.255.255.250,,1900
41.359726000,192.168.100.1,,38134,239.255.255.250,,1900
41.620405000,192.168.100.1,,38134,239.255.255.250,,1900
41.879159000,192.168.100.1,,38134,239.255.255.250,,1900
42.283803000,192.168.100.117,,47078,239.255.255.250,,15600
43.097567000,192.168.100.147,53885,,192.168.100.28,8009,
43.097793000,192.168.100.147,50580,,192.168.100.28,32202,
43.100924000,192.168.100.28,8009,,192.168.100.147,53885,
43.102424000,192.168.100.28,32202,,192.168.100.147,50580,
43.148431000,192.168.100.147,53885,,192.168.100.28,8009,
43.148431000,192.168.100.147,50580,,192.168.100.28,32202,
45.121323000,192.168.100.145,,10168,255.255.255.255,,10167
45.325594000,192.168.100.117,,48173,192.168.100.255,,15600
45.492176000,192.168.100.1,,,192.168.100.147,,
45.492233000,192.168.100.147,,,192.168.100.1,,
45.493747000,192.168.100.1,,,192.168.100.147,,
45.493777000,192.168.100.147,,,192.168.100.1,,
45.615263000,192.168.100.147,19115,,189.1.174.45,443,
45.652830000,189.1.174.45,443,,192.168.100.147,19115,
45.652860000,192.168.100.147,19115,,189.1.174.45,443,
45.682543000,189.1.174.45,443,,192.168.100.147,19115,
48.107045000,192.168.100.147,53885,,192.168.100.28,8009,
48.107230000,192.168.100.147,50580,,192.168.100.28,32202,
48.111224000,192.168.100.28,8009,,192.168.100.147,53885,
48.111342000,192.168.100.28,32202,,192.168.100.147,50580,
48.153624000,192.168.100.147,50580,,192.168.100.28,32202,
48.153635000,192.168.100.147,53885,,192.168.100.28,8009,
48.287954000,192.168.100.117,,54663,239.255.255.250,,15600
50.512376000,192.168.100.1,,,192.168.100.147,,
50.512471000,192.168.100.147,,,192.168.100.1,,
50.512836000,192.168.100.1,,,192.168.100.147,,
50.512881000,192.168.100.147,,,192.168.100.1,,
51.367974000,192.168.100.117,,51950,192.168.100.255,,15600
52.037399000,192.168.100.117,,42506,239.255.255.250,,1900
53.112353000,192.168.100.147,50580,,192.168.100.28,32202,
53.112576000,192.168.100.147,53885,,192.168.100.28,8009,
53.117442000,192.168.100.28,8009,,192.168.100.147,53885,
53.117442000,192.168.100.28,32202,,192.168.100.147,50580,
53.160782000,192.168.100.147,50580,,192.168.100.28,32202,
53.160778000,192.168.100.147,53885,,192.168.100.28,8009,
54.288224000,192.168.100.117,,44271,239.255.255.250,,15600
55.532624000,192.168.100.1,,,192.168.100.147,,
55.532624000,192.168.100.1,,,192.168.100.147,,
55.532706000,192.168.100.147,,,192.168.100.1,,
55.532773000,192.168.100.147,,,192.168.100.1,,
55.684668000,192.168.100.147,19115,,189.1.174.45,443,
55.752787000,189.1.174.45,443,,192.168.100.147,19115,
57.307179000,192.168.100.117,,33187,192.168.100.255,,15600
58.126818000,192.168.100.147,50580,,192.168.100.28,32202,
58.127042000,192.168.100.147,53885,,192.168.100.28,8009,
58.131604000,192.168.100.28,8009,,192.168.100.147,53885,
58.131604000,192.168.100.28,32202,,192.168.100.147,50580,
58.174615000,192.168.100.147,50580,,192.168.100.28,32202,
58.174615000,192.168.100.147,53885,,192.168.100.28,8009,
